City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,ostersund,63.1792,14.6357,280.16,100,75,5.66,SE,1667464263
301,vieux-habitants,16.0589,-61.7659,296.91,79,11,4.91,GP,1667464263
302,kushiro,42.975,144.3747,281.68,76,75,3.09,JP,1667464050
303,norman wells,65.282,-126.8329,261.17,72,75,9.77,CA,1667464264
304,yulara,-25.2406,130.9889,298.32,16,0,4.37,AU,1667464253
305,auki,-8.7676,160.7034,299.2,85,88,2.2,SB,1667464265
306,rochelle,46.25,-1.0,289.8,88,99,4.12,FR,1667464266
307,noumea,-22.2763,166.4572,299.14,77,18,2.46,NC,1667464010
308,fort nelson,58.8053,-122.7002,258.92,92,100,2.06,CA,1667464266
309,dondo,-19.6094,34.7431,301.57,62,100,1.67,MZ,1667464267
310,labuhan,-6.8844,112.2051,303.4,62,62,3.34,ID,1667464267
311,meulaboh,4.1363,96.1285,300.7,75,92,2.24,ID,1667464268
312,san jose,37.3394,-121.895,283.63,78,0,3.6,US,1667464269
313,poum,-20.2333,164.0167,299.68,73,45,2.85,NC,1667464269
314,miranda de ebro,42.6865,-2.947,290.92,61,100,8.65,ES,1667464270
315,pangnirtung,66.1451,-65.7125,266.92,93,100,3.07,CA,1667464271
316,severo-kurilsk,50.6789,156.125,278.34,87,100,3.58,RU,1667464272
317,bengkulu,-3.8004,102.2655,301.78,71,80,3.86,ID,1667463972
318,dwarka,22.2394,68.9678,303.79,42,0,2.69,IN,1667463980
319,montijo,38.7067,-8.9739,291.25,91,75,2.57,PT,1667464273
320,mongagua,-24.0931,-46.6208,290.45,77,100,4.16,BR,1667464274
321,eyl,7.9803,49.8164,301.98,57,20,5.01,SO,1667464274
322,moranbah,-22.0016,148.0466,297.89,27,0,4.73,AU,1667464200
323,samana,19.2056,-69.3369,297.03,90,62,1.68,DO,1667464275
324,dumka,24.2667,87.25,301.71,37,0,3.19,IN,1667464276
325,beira,-19.8436,34.8389,300.29,69,100,2.37,MZ,1667464277
326,paamiut,61.994,-49.6678,273.34,66,100,5.21,GL,1667464277
327,simav,39.0882,28.9777,293.58,26,0,2.38,TR,1667464278
328,sainte-maxime,43.3,6.6333,291.03,88,89,3.43,FR,1667464278
329,kulhudhuffushi,6.6221,73.07,300.81,75,100,5.93,MV,1667464279
330,kysyl-syr,63.8986,122.7617,267.45,96,100,2.46,RU,1667464279
331,ullapool,57.8987,-5.1604,281.68,76,35,5.72,GB,1667464280
332,alugan,12.2188,125.4808,301.08,80,70,3.09,PH,1667464281
333,tukrah,32.5341,20.5791,295.49,54,0,3.24,LY,1667463963
334,lasa,46.6166,10.7002,283.64,85,74,2.3,IT,1667463959
335,turukhansk,65.8167,87.9833,259.04,96,76,1.36,RU,1667463994
336,half moon bay,37.4636,-122.4286,284.34,77,0,6.69,US,1667464282
337,puerto del rosario,28.5004,-13.8627,296.01,78,40,4.12,ES,1667464283
338,gbarnga,6.9956,-9.4722,298.1,87,96,0.59,LR,1667464283
339,xixiang,35.1628,112.865,286.81,67,100,4.38,CN,1667464284
340,koping,59.514,15.9926,281.76,89,90,2.84,SE,1667464284
341,skjervoy,70.0311,20.9714,277.15,78,42,4.41,NO,1667464285
342,lagoa,39.05,-27.9833,290.69,80,92,8.12,PT,1667463980
343,lakefield,43.6775,-95.1717,287.47,73,0,6.69,US,1667464287
344,rawlins,41.7911,-107.2387,272.23,93,100,0.0,US,1667464288
345,ampere,-25.915,-53.4728,281.18,95,0,1.56,BR,1667464289
346,kralendijk,12.15,-68.2667,300.14,89,40,3.6,BQ,1667463999
347,taltal,-25.4,-70.4833,287.28,84,19,0.83,CL,1667464290
348,atambua,-9.1061,124.8925,300.24,74,74,0.53,ID,1667464291
349,eureka,40.8021,-124.1637,277.38,97,11,1.88,US,1667463937
350,sao joao da barra,-21.6403,-41.0511,291.38,83,100,7.65,BR,1667464292
351,cusuna,15.85,-85.2333,296.89,91,74,1.35,HN,1667464292
352,sungai besar,3.6746,100.9867,301.99,66,100,2.61,MY,1667464036
353,zeya,53.75,127.2667,263.88,90,100,1.43,RU,1667464293
354,nioki,-2.7167,17.6833,295.25,96,100,0.32,CD,1667464294
355,daru,-9.0763,143.2092,300.94,76,99,3.09,PG,1667464295
356,korla,41.7597,86.1469,287.56,25,48,5.18,CN,1667464295
357,san luis,-33.295,-66.3356,286.49,21,84,3.83,AR,1667464296
358,naze,28.3667,129.4833,295.66,82,91,3.75,JP,1667464296
359,usolye,59.4268,56.6808,274.69,89,100,4.1,RU,1667464297
360,san jose de rio tinto,14.9333,-85.7,293.78,96,100,1.09,HN,1667464298
361,carnarvon,-24.8667,113.6333,299.05,47,0,6.78,AU,1667463925
362,mackenzie,55.2999,-123.1698,263.27,79,40,1.54,CA,1667464299
363,ereymentau,51.6199,73.1033,279.29,46,89,8.02,KZ,1667464300
364,matipo,-20.2839,-42.3411,287.95,90,100,3.47,BR,1667464300
